                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2536,                 2.0057,                 1.3698,                0.92492,                0.86614,                0.93276,                0.76823,                0.62653,                 1.1575,                0.88348,                0.00014,                0.00014,                0.00014
                      2,                 1.0335,                0.99838,                 1.1845,                0.73088,                0.84252,                0.86791,                0.69705,                0.77082,                 5.0391,                0.98764,             0.00029406,             0.00029406,             0.00029406
                      3,                 1.0428,                 0.9061,                 1.1894,                0.88257,                 0.8189,                0.91086,                0.74297,                0.74763,                 1.3708,                 0.9699,             0.00044178,             0.00044178,             0.00044178
                      4,                 1.0213,                0.82288,                 1.1597,                      1,                0.25197,                0.81512,                0.66747,                0.82158,                 8.1339,                 1.0111,             0.00058317,             0.00058317,             0.00058317
                      5,                0.99668,                0.79928,                 1.1451,                0.89144,                0.85039,                0.86275,                0.64533,                0.88114,                 4.7934,                 1.1383,             0.00071822,             0.00071822,             0.00071822
                      6,                 1.0006,                0.87098,                 1.1912,                0.58054,                 0.7874,                0.68856,                0.50862,                0.87149,                 3.4298,                 1.2499,             0.00084694,             0.00084694,             0.00084694
                      7,                0.97419,                0.80246,                 1.1493,                0.35333,                0.81102,                0.38459,                0.27954,                0.85081,                   5.54,                 1.3199,             0.00096932,             0.00096932,             0.00096932
                      8,                0.99823,                 0.8542,                 1.1642,                 0.1701,                0.70866,                0.18445,                0.13167,                  1.018,                 18.395,                 1.6374,              0.0010854,              0.0010854,              0.0010854
                      9,                0.95213,                0.77309,                 1.1446,                0.28822,                 0.6063,                0.25067,                0.15648,                 1.1689,                 6.7552,                 1.4093,              0.0011951,              0.0011951,              0.0011951
                     10,                 1.0062,                0.84522,                 1.1774,                0.07837,                0.55906,                0.10468,                0.05556,                 1.2256,                 16.394,                 1.4099,              0.0012984,              0.0012984,              0.0012984
                     11,                0.97145,                0.79535,                 1.1779,                0.84351,                 0.8189,                0.86123,                0.60741,                0.97952,                 2.0565,                  1.242,              0.0013955,              0.0013955,              0.0013955
                     12,                0.98402,                0.79786,                 1.1909,                0.79429,                0.88189,                0.82874,                0.60787,                0.88212,                 1.2819,                 1.1942,              0.0014862,              0.0014862,              0.0014862
                     13,                0.99609,                0.80547,                 1.1982,                0.86242,                0.74016,                0.83503,                0.61056,                0.93084,                 1.4758,                 1.2078,              0.0015248,              0.0015248,              0.0015248
                     14,                0.93428,                0.72989,                 1.1408,                0.75683,                0.83325,                0.78353,                0.54103,                0.92015,                  1.123,                 1.1328,              0.0014852,              0.0014852,              0.0014852
                     15,                 0.9532,                0.75324,                 1.1521,                0.79543,                0.79606,                0.80602,                0.62733,                0.84435,                 1.2194,                 1.1402,              0.0014456,              0.0014456,              0.0014456
                     16,                0.92262,                0.71938,                 1.1441,                0.84066,                0.80315,                0.85033,                0.66568,                0.81711,                0.97607,                 1.1155,               0.001406,               0.001406,               0.001406
                     17,                0.91547,                0.67464,                 1.1182,                 0.8678,                0.81102,                 0.8765,                0.70127,                0.81297,                 1.0536,                 1.0729,              0.0013664,              0.0013664,              0.0013664
                     18,                0.94202,                 0.6993,                 1.1341,                0.75868,                 0.7874,                0.83917,                0.67777,                0.78279,                 1.2809,                  1.059,              0.0013268,              0.0013268,              0.0013268
                     19,                0.90672,                0.66897,                 1.1081,                 0.9425,                0.87402,                 0.9271,                0.75053,                0.74711,                0.81984,                 1.0345,              0.0012872,              0.0012872,              0.0012872
                     20,                0.86469,                0.64828,                  1.101,                0.95291,                0.86614,                0.93193,                0.74167,                0.77753,                0.79525,                 1.0779,              0.0012476,              0.0012476,              0.0012476
                     21,                0.87617,                0.65716,                 1.1149,                0.89092,                0.83609,                0.92324,                0.74548,                0.76451,                0.80319,                 1.0587,               0.001208,               0.001208,               0.001208
                     22,                 0.8698,                 0.6594,                 1.0927,                0.92548,                0.88189,                0.92446,                0.74461,                0.75189,                0.65236,                 1.0701,              0.0011684,              0.0011684,              0.0011684
                     23,                0.82878,                0.61216,                 1.0772,                0.92185,                  0.836,                0.92871,                0.74591,                0.75577,                0.58024,                 1.0212,              0.0011288,              0.0011288,              0.0011288
                     24,                0.80134,                0.57044,                 1.0347,                0.91368,                0.92126,                0.93955,                0.75817,                0.75532,                0.54763,                 1.0429,              0.0010892,              0.0010892,              0.0010892
                     25,                0.80995,                0.59674,                 1.0675,                 0.9067,                0.91829,                 0.9316,                0.73203,                0.79105,                 0.5667,                 1.0706,              0.0010496,              0.0010496,              0.0010496
                     26,                0.80079,                0.58783,                 1.0565,                0.94262,                0.90545,                0.95717,                0.77304,                0.74958,                0.53766,                 1.0365,                0.00101,                0.00101,                0.00101
                     27,                0.77395,                0.60917,                 1.0565,                 0.9752,                0.91339,                0.95571,                0.78136,                0.75273,                0.49533,                 1.0182,              0.0009704,              0.0009704,              0.0009704
                     28,                0.77722,                0.57896,                 1.0391,                0.97453,                0.90385,                0.96473,                0.79567,                0.72299,                0.47785,                 1.0161,              0.0009308,              0.0009308,              0.0009308
                     29,                0.75002,                0.55824,                 1.0418,                0.97512,                0.93701,                0.96263,                0.78298,                0.74251,                0.48943,                 1.0106,              0.0008912,              0.0008912,              0.0008912
                     30,                0.77711,                0.53967,                 1.0387,                0.96595,                0.91339,                0.96354,                  0.793,                0.70185,                0.47899,                 1.0012,              0.0008516,              0.0008516,              0.0008516
                     31,                0.76397,                0.54762,                 1.0427,                0.97952,                0.88189,                0.96364,                0.79671,                0.71148,                0.47118,                0.99709,               0.000812,               0.000812,               0.000812
                     32,                0.72685,                0.51572,                 1.0085,                 0.9966,                0.88189,                0.95805,                0.79279,                0.69524,                0.46526,                0.98515,              0.0007724,              0.0007724,              0.0007724
                     33,                0.71615,                0.53396,                 1.0334,                0.95102,                0.91738,                0.96509,                 0.8043,                0.66515,                0.42753,                0.96586,              0.0007328,              0.0007328,              0.0007328
                     34,                0.73314,                0.53646,                 1.0414,                0.95111,                0.91912,                0.96191,                0.79084,                0.68446,                0.46294,                0.99215,              0.0006932,              0.0006932,              0.0006932
                     35,                0.71652,                0.52875,                 1.0307,                0.97218,                0.90551,                0.96274,                  0.797,                0.68683,                0.44022,                 0.9911,              0.0006536,              0.0006536,              0.0006536
                     36,                0.72629,                 0.5103,                 1.0127,                0.96665,                0.91282,                 0.9572,                0.78735,                0.67703,                0.43386,                0.98041,               0.000614,               0.000614,               0.000614
                     37,                  0.715,                0.50362,                 1.0197,                0.97865,                0.91339,                0.96697,                0.79787,                0.68619,                0.43481,                0.99515,              0.0005744,              0.0005744,              0.0005744
                     38,                0.67202,                0.46917,                0.99924,                0.96862,                0.93701,                0.96992,                0.80766,                0.66911,                0.40413,                0.96236,              0.0005348,              0.0005348,              0.0005348
                     39,                0.67718,                0.48542,                0.99805,                0.96141,                0.93701,                0.97082,                0.81144,                 0.6598,                0.40189,                0.96344,              0.0004952,              0.0004952,              0.0004952
                     40,                0.70189,                 0.5047,                 1.0182,                0.97675,                0.92126,                0.96503,                0.80804,                0.66466,                0.40795,                0.96686,              0.0004556,              0.0004556,              0.0004556
                     41,                0.62624,                0.45242,                0.96983,                0.97496,                0.91979,                0.95938,                0.79923,                0.65766,                0.43795,                0.95852,               0.000416,               0.000416,               0.000416
                     42,                0.61933,                0.44301,                0.98188,                0.97686,                0.91339,                0.96735,                0.80658,                0.65952,                0.41514,                0.96246,              0.0003764,              0.0003764,              0.0003764
