                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2139,                 1.4297,                  1.437,                0.26072,                0.50394,                0.22189,                0.11006,                 2.3044,                 17.963,                 3.0193,             0.00065641,             0.00065641,             0.00065641
                      2,                 1.4069,                 1.2802,                  1.551,                0.00619,                 0.1378,                0.00268,                0.00099,                 4.1612,                    inf,                 15.754,              0.0012969,              0.0012969,              0.0012969
                      3,                 1.4692,                 1.3714,                 1.6221,                0.11304,                0.47244,                0.22158,                0.10411,                 2.1843,                 40.162,                 2.6524,              0.0019109,              0.0019109,              0.0019109
                      4,                 1.4415,                 1.2901,                 1.5994,                0.64627,                0.31102,                0.32211,                0.19544,                 3.2161,                 13.939,                 3.4116,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.3437,                 1.1353,                 1.5214,                0.55853,                0.61764,                0.56971,                  0.318,                 1.6604,                 2.5574,                 2.0497,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.3251,                 1.1125,                  1.518,                0.80711,                0.77426,                0.83681,                0.54857,                 1.2827,                 1.2917,                 1.6741,               0.001802,               0.001802,               0.001802
                      7,                 1.2385,                 1.0179,                 1.4529,                0.71708,                0.61024,                0.68951,                0.40052,                 1.5587,                 6.9934,                 2.1266,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.2149,                0.96074,                 1.4258,                0.80383,                0.65748,                0.77372,                0.51765,                 1.3105,                 1.4904,                 1.6996,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.2015,                0.94439,                 1.4304,                0.89271,                0.80709,                0.88365,                0.60257,                 1.0939,                0.95669,                 1.5321,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.1136,                0.84292,                 1.3645,                0.90717,                0.81496,                0.89884,                0.61578,                 1.1491,                0.83337,                  1.566,              0.0016436,              0.0016436,              0.0016436
                     11,                  1.127,                0.86029,                 1.3696,                0.94048,                0.87096,                0.91272,                0.64812,                 1.0297,                 0.7401,                 1.4417,               0.001604,               0.001604,               0.001604
                     12,                 1.0824,                0.80734,                 1.3298,                0.92424,                0.86448,                0.93166,                0.65056,                 1.0456,                0.69343,                 1.4107,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.0771,                0.80117,                 1.3376,                0.92019,                0.87795,                0.93472,                0.69182,                 1.0035,                 0.6739,                 1.3708,              0.0015248,              0.0015248,              0.0015248
                     14,                  1.069,                0.80979,                 1.3426,                0.89126,                0.87123,                0.91307,                0.66873,                0.99632,                0.74185,                 1.3954,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.0403,                0.75519,                 1.3067,                0.95737,                0.88416,                0.93931,                0.68741,                   1.04,                 0.6167,                 1.4183,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.0477,                0.74742,                 1.3166,                0.93116,                0.85211,                0.94825,                0.69996,                0.99268,                0.78496,                 1.3963,               0.001406,               0.001406,               0.001406
                     17,                 1.0078,                0.72657,                 1.2897,                0.96584,                0.90157,                0.95979,                0.69299,                0.98202,                 0.5789,                 1.3618,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.0056,                0.70821,                 1.2829,                0.91475,                0.88712,                0.93658,                0.70916,                0.91443,                0.60091,                 1.3261,              0.0013268,              0.0013268,              0.0013268
                     19,                0.98993,                0.66444,                 1.2742,                0.92996,                0.87008,                0.93421,                0.69004,                0.99049,                0.56634,                 1.3799,              0.0012872,              0.0012872,              0.0012872
                     20,                0.94621,                0.64279,                 1.2628,                0.96571,                0.88583,                0.94946,                0.74301,                0.84221,                0.50871,                 1.2603,              0.0012476,              0.0012476,              0.0012476
                     21,                0.94817,                0.65004,                 1.2444,                0.95571,                0.84964,                 0.9504,                0.72056,                    0.9,                0.54052,                 1.3029,               0.001208,               0.001208,               0.001208
                     22,                 0.9432,                0.64713,                 1.2476,                0.94142,                0.88189,                0.95535,                 0.7139,                0.92286,                0.57815,                  1.313,              0.0011684,              0.0011684,              0.0011684
