                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7225,                  2.532,                 1.5463,                0.16887,                    0.5,                0.12624,                0.05387,                 2.0203,                 6.4063,                 1.7403,                0.00065,                0.00065,                0.00065
                      2,                 1.8018,                 1.7052,                 1.6399,                0.16887,                    0.5,                0.12624,                0.05387,                    nan,                    nan,                    nan,              0.0012906,              0.0012906,              0.0012906
                      3,                 1.8732,                 1.9003,                 1.6585,                0.00087,                0.01389,                0.00045,                  9e-05,                 4.4305,                 87.774,                 3.0238,              0.0019048,              0.0019048,              0.0019048
                      4,                 1.8741,                 1.7352,                 1.6804,                0.01755,                0.02778,                0.00206,                0.00068,                 3.0377,                 13.376,                 2.4993,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.8182,                  1.681,                 1.6686,                0.03431,                0.16667,                0.01131,                0.00478,                 3.0252,                 8.5518,                 3.3856,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.8022,                 1.5916,                 1.6351,                0.08093,                0.02778,                0.02258,                0.00849,                 2.4209,                 2.5443,                  2.093,               0.001802,               0.001802,               0.001802
                      7,                 1.7403,                 1.4288,                 1.5717,                0.27277,                   0.25,                 0.1779,                0.07817,                 2.5162,                 2.6016,                 2.1091,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.7505,                 1.4969,                 1.5874,                0.68969,                0.52483,                0.55223,                0.28273,                 1.9013,                 1.5604,                 1.7211,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.7187,                 1.4402,                  1.597,                0.76845,                0.59722,                0.72335,                0.35593,                 1.8639,                 1.3654,                 1.6349,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.6404,                 1.3493,                 1.5384,                0.84668,                0.53696,                0.68382,                0.33024,                 1.8062,                 1.8182,                 1.5977,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.6274,                 1.3282,                 1.4927,                0.75767,                0.59722,                 0.6006,                0.32163,                  1.837,                 1.6994,                 1.6215,               0.001604,               0.001604,               0.001604
                     12,                 1.5941,                 1.2623,                 1.4873,                0.70474,                0.66667,                0.69079,                0.34322,                  1.814,                  1.285,                 1.5445,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.5916,                 1.2379,                 1.4912,                0.74681,                0.72222,                0.77732,                0.42201,                 1.6371,                 1.2923,                 1.5204,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.5973,                 1.2312,                 1.4906,                0.80467,                0.80106,                0.83633,                0.40968,                 1.7917,                 1.2807,                 1.5716,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.5869,                  1.217,                 1.4987,                0.85465,                0.69444,                0.81069,                0.42544,                 1.6446,                 1.1773,                 1.5059,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.5192,                 1.1483,                 1.4349,                0.82249,                0.61111,                0.67977,                0.30909,                 1.8579,                 1.4337,                 1.6255,               0.001406,               0.001406,               0.001406
                     17,                  1.533,                 1.1199,                 1.4503,                0.76997,                0.79035,                0.80473,                0.41754,                 1.7079,                  1.044,                 1.5139,              0.0013664,              0.0013664,              0.0013664
                     18,                  1.489,                 1.0639,                 1.4145,                0.83648,                0.66667,                0.77118,                0.36631,                  1.835,                 1.2343,                 1.5725,              0.0013268,              0.0013268,              0.0013268
